Quarter,Gasoline
1,90.183
2,96.675
3,95.222
4,91.336
5,92.305
6,96.725
7,96.737
8,92.809
9,93.292
10,98.73
11,99.436
12,95.921
13,95.546
14,99.734
15,100.948
16,98.824
17,99.053
18,105.342
19,103.677
20,99.627
21,99.763
22,103.911
23,103.072
24,99.899
25,99.963
26,107.164
27,106.509
28,103.762
29,104.251
30,107.841
31,109.86
32,106.077
33,106.672
34,110.924
35,111.582
36,107.776
37,107.577
38,111.686
39,111.542
40,108.876
41,107.828
42,113.011
43,112.958
44,111.66
45,110.849
46,115.165
47,116.495
48,114.285
49,111.345
50,115.601
51,119.393
52,115.781
53,115.298
54,119.281
55,119.88
56,117.97
57,116.816
58,121.864
59,118.705
60,118.967
61,117.529
62,121.991
63,122.747
64,120.944
65,119.663
66,123.167
67,122.91
68,120.913
69,118.353
70,120.963
71,119.051
72,116.869
73,116.554
74,118.98
75,119.089
76,116.292
77,115.456
78,119.993
79,120.313
80,117.772
81,115.549
82,118.921
83,117.514
84,112.051
85,108.539
86,114.597
87,114.894
88,111.202
89,109.819
90,113.877
91,116.471
92,115.665
93,110.589
94,116.035
95,115.895
96,118.649
97,114.265
98,120.672
99,121.391
100,118.844
101,118.723
102,125.148
103,124.627
